scientificName,decimalLatitude,decimalLongitude
Ecclinusa ramiflora Mart.,-25.280833,-48.313333
Ecclinusa ramiflora Mart.,-22.356944,-43.735
Ecclinusa ramiflora Mart.,-22.356944,-43.734722
Ecclinusa ramiflora Mart.,-25.171111,-48.301389
Ecclinusa ramiflora Mart.,0.012611,-71.010056
Ecclinusa ramiflora Mart.,-15.55,-39.4
Ecclinusa ramiflora Mart.,1.12,-72.81
Ecclinusa ramiflora Mart.,-25.168333,-48.300556
Ecclinusa ramiflora Mart.,-1.879167,-61.718056
Ecclinusa ramiflora Mart.,-25.1683,-48.3005
Ecclinusa ramiflora Mart.,-9.168889,-68.951111
Ecclinusa ramiflora Mart.,-22.293056,-41.788056
Ecclinusa ramiflora Mart.,-22.293055,-41.788055
Ecclinusa ramiflora Mart.,-9.44,-64.843055
Ecclinusa ramiflora Mart.,-9.44,-64.843056
Ecclinusa ramiflora Mart.,-13.113333,-38.895556
Ecclinusa ramiflora Mart.,-12.530278,-38.299167
Ecclinusa ramiflora Mart.,-12.263056,-38.041667
Ecclinusa ramiflora Mart.,-11.813611,-37.610556
Ecclinusa ramiflora Mart.,-11.0429,-37.1944
Ecclinusa ramiflora Mart.,-11.042778,-37.194444
Ecclinusa ramiflora Mart.,-22.029598,-47.898876
Ecclinusa ramiflora Mart.,-25.172222,-48.301389
Ecclinusa ramiflora Mart.,-25.1722,-48.3013
Ecclinusa ramiflora Mart.,-9.634444,-65.451944
Ecclinusa ramiflora Mart.,-9.542778,-65.044167
Ecclinusa ramiflora Mart.,-11.014722,-37.206389
Ecclinusa ramiflora Mart.,-11.005278,-37.122222
Ecclinusa ramiflora Mart.,-17.459722,-39.240278000000004
Ecclinusa ramiflora Mart.,-16.559333,-57.539861
Ecclinusa ramiflora Mart.,-17.100278,-40.320278
Ecclinusa ramiflora Mart.,-14.399444,-39.060278
Ecclinusa ramiflora Mart.,-15.840278,-39.599722
Ecclinusa ramiflora Mart.,-14.760278,-39.420556
Ecclinusa ramiflora Mart.,-16.199444,-39.060278
Ecclinusa ramiflora Mart.,-24.01288,-47.29368
Ecclinusa ramiflora Mart.,5.2,-53.4
Ecclinusa ramiflora Mart.,-15.349444,-39.045278
Ecclinusa ramiflora Mart.,-15.249444,-39.078056
Ecclinusa ramiflora Mart.,-24.10004,-47.51019
Ecclinusa ramiflora Mart.,-16.558333,-57.561639
Ecclinusa ramiflora Mart.,-15.155,-39.097222
Ecclinusa ramiflora Mart.,-13.717056,-39.637139
Ecclinusa ramiflora Mart.,-9.233333,-64.328056
Ecclinusa ramiflora Mart.,-9.233333,-64.328055
Ecclinusa ramiflora Mart.,-24.18,-47.92
Ecclinusa ramiflora Mart.,-15.25,-39.066667
Ecclinusa ramiflora Mart.,-9.530556,-64.820833
Ecclinusa ramiflora Mart.,-19.911,-40.554
Ecclinusa ramiflora Mart.,2.37986,-53.77619
Ecclinusa ramiflora Mart.,-11.2,-37.233333
Ecclinusa ramiflora Mart.,-14.356111,-39.066111
Ecclinusa ramiflora Mart.,-13.330833,-39.190833
Ecclinusa ramiflora Mart.,-9.716667,-68.116667
Ecclinusa ramiflora Mart.,-13.826667,-39.204722
Ecclinusa ramiflora Mart.,-23.589444,-45.54
Ecclinusa ramiflora Mart.,-13.648889,-39.196111
Ecclinusa ramiflora Mart.,-14.001667,-39.166944
Ecclinusa ramiflora Mart.,-25.08,-47.93
Ecclinusa ramiflora Mart.,-13.121667,-39.670278
Ecclinusa ramiflora Mart.,4.62556,-52.46494
Ecclinusa ramiflora Mart.,4.59457,-53.41397
Ecclinusa ramiflora Mart.,-23.630556,-45.504167
Ecclinusa ramiflora Mart.,-15.186667,-39.694444
